"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4387794598","linkedin","https://www.linkedin.com/jobs/view/4387794598","","SDE 1 (Backend)","Licious","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/licious","","","","","","","","","","","",""
"li-4369341102","linkedin","https://www.linkedin.com/jobs/view/4369341102","","Python Fullstack","Infosys","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
"li-4388311533","linkedin","https://www.linkedin.com/jobs/view/4388311533","","Software Engineer, Salesforce","LinkedIn","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4387903800","linkedin","https://www.linkedin.com/jobs/view/4387903800","","Software Engineer","Cisco","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cisco","","","","","","","","","","","",""
"li-4388311580","linkedin","https://www.linkedin.com/jobs/view/4388311580","","Staff Software Engineer - Fullstack","LinkedIn","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4387914367","linkedin","https://www.linkedin.com/jobs/view/4387914367","","Software Engineer","Cisco","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cisco","","","","","","","","","","","",""
"li-4388306902","linkedin","https://www.linkedin.com/jobs/view/4388306902","","Staff Software Engineer - Productivity Engineering","LinkedIn","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4387903799","linkedin","https://www.linkedin.com/jobs/view/4387903799","","Software Engineer","Cisco","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cisco","","","","","","","","","","","",""
"li-4387911688","linkedin","https://www.linkedin.com/jobs/view/4387911688","","Senior Software Engineer - Applications","LinkedIn","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/linkedin","","","","","","","","","","","",""
"li-4387791594","linkedin","https://www.linkedin.com/jobs/view/4387791594","","Software Engineer(A231096)","Xiaomi India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/xiaomi-india","","","","","","","","","","","",""
"li-4385495358","linkedin","https://www.linkedin.com/jobs/view/4385495358","","Software Engineer III","Walmart Global Tech India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/walmartglobaltechindia","","","","","","","","","","","",""
"li-4387755915","linkedin","https://www.linkedin.com/jobs/view/4387755915","","Software Engineer - Java/Golang","PRIMUS Techsystems Private Limited","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/primustechsystems","","","","","","","","","","","",""
"li-4387755919","linkedin","https://www.linkedin.com/jobs/view/4387755919","","Interesting Job Opportunity: AppYogi Software - Senior Software Developer - Node.js/MongoDB","AppYogi Software","Bengaluru East, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/appyogi-software","","","","","","","","","","","",""
"li-4388198869","linkedin","https://www.linkedin.com/jobs/view/4388198869","","Senior Software Engineer - Frontend (Full Stack)","Cognite","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cognitedata","","","","","","","","","","","",""
"li-4324487885","linkedin","https://www.linkedin.com/jobs/view/4324487885","","Software Engineer - Backend Java","Kyndryl India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/kyndryl-india","","","","","","","","","","","",""
